City_ID,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
0,kandrian,-6.2167,149.55,81.37,79,99,6.04,PG,1677886981
1,ribeira grande,38.5167,-28.7,54.77,85,95,3.0,PT,1677886427
2,sao raimundo das mangabeiras,-7.0219,-45.4811,76.78,80,26,3.8,BR,1677886983
3,kaitangata,-46.2817,169.8464,59.76,47,92,6.55,NZ,1677886984
4,wilmington,34.2257,-77.9447,75.11,64,0,23.02,US,1677886954
5,georgetown,5.4112,100.3354,76.93,94,20,2.3,MY,1677886920
6,severo-kurilsk,50.6789,156.125,21.79,69,99,21.88,RU,1677886987
7,norman wells,65.282,-126.8329,-9.36,64,20,13.8,CA,1677886989
8,cape town,-33.9258,18.4232,67.91,85,20,10.36,ZA,1677886779
9,vestmanna,62.1564,-7.1664,34.72,80,100,0.0,FO,1677886991
10,ambon,-3.6954,128.1814,80.74,14,40,1.14,ID,1677886992
11,alice springs,-23.7,133.8833,74.75,22,56,3.44,AU,1677886810
12,cabo san lucas,22.8909,-109.9124,72.61,60,0,9.22,MX,1677886994
13,lodja,-3.4833,23.4333,69.78,89,52,2.39,CD,1677886996
14,saint-joseph,-21.3667,55.6167,79.18,78,90,2.62,RE,1677886482
15,port lincoln,-34.7333,135.8667,67.24,67,7,2.8,AU,1677886998
16,vila franca do campo,37.7167,-25.4333,54.01,88,100,10.69,PT,1677886999
17,namwala,-15.7504,26.4384,65.52,94,89,1.74,ZM,1677887000
18,kansanshi,-12.0951,26.4273,61.27,98,100,4.45,ZM,1677887001
19,harlingen,26.1906,-97.6961,77.2,25,0,17.27,US,1677886878
20,bereda,43.2686,-7.5406,30.15,100,4,3.18,ES,1677886488
21,trairi,-3.2778,-39.2689,76.51,90,98,8.77,BR,1677886861
22,ancud,-41.8697,-73.8203,52.29,63,48,5.55,CL,1677887004
23,podor,16.6527,-14.9587,78.73,9,85,11.56,MR,1677887005
24,shafranovo,53.9667,54.7667,19.96,95,84,12.44,RU,1677887007
25,kahului,20.8947,-156.47,77.02,72,40,23.02,US,1677887008
26,iranshahr,27.2025,60.6848,68.41,48,50,2.77,IR,1677887009
27,tvoroyri,61.5556,-6.8111,39.96,69,99,7.14,FO,1677887010
28,seoul,37.5683,126.9778,40.57,81,75,4.61,KR,1677886790
29,labuhan,-6.8844,112.2051,77.59,84,79,4.9,ID,1677887012
30,sidhi,24.4167,81.8833,68.11,32,0,3.33,IN,1677887013
